sample	cnv
TCGA.27.2521.01A	55440
TCGA.14.0817.01A	55287
TCGA.12.5299.01A	55472
TCGA.12.1089.01A	55652
TCGA.32.2632.01A	55591
TCGA.14.1827.01A	55393
TCGA.08.0357.01A	55570
TCGA.26.A7UX.01B	57092
TCGA.02.0332.01A	55416
TCGA.14.3477.01A	55301
TCGA.02.0060.01A	55676
TCGA.02.2485.01A	55509
TCGA.06.0173.01A	56957
TCGA.28.5219.01A	55527
TCGA.08.0345.01A	55624
TCGA.02.0025.01A	55391
TCGA.76.6280.01A	55456
TCGA.28.2510.01A	55635
TCGA.02.0015.01A	55548
TCGA.26.5135.01A	55508
TCGA.19.1392.01A	54588
TCGA.16.1063.01B	55564
TCGA.41.3393.01A	55582
TCGA.76.6656.01A	55577
TCGA.06.0190.01A	56806
TCGA.08.0512.01A	55188
TCGA.02.0330.01A	55483
TCGA.02.2486.01A	55676
TCGA.19.0964.01A	55516
TCGA.06.5414.01A	55554
TCGA.14.0790.01B	55578
TCGA.32.1986.01A	55633
TCGA.06.0394.01A	55556
TCGA.19.5958.01A	55513
TCGA.06.A6S0.01A	56948
TCGA.06.0645.01A	55603
TCGA.02.0014.01A	54938
TCGA.76.4935.01A	55483
TCGA.28.2502.01B	55127
TCGA.76.4926.01B	55514
TCGA.28.5220.01A	55310
TCGA.16.0861.01A	55356
TCGA.06.0185.01A	56849
TCGA.12.1602.01A	55334
TCGA.74.6573.01A	55516
TCGA.06.2564.01A	55657
TCGA.76.6662.01A	55585
TCGA.08.0517.01A	55737
TCGA.06.6699.01A	55465
TCGA.12.3649.01A	55275
TCGA.06.0214.01A	56644
TCGA.19.5960.01A	55609
TCGA.02.0338.01A	55702
TCGA.02.0087.01A	55714
TCGA.74.6577.01A	55594
TCGA.06.0412.01A	55447
TCGA.06.1087.01A	55283
TCGA.06.1806.01A	55745
TCGA.12.1098.01C	55457
TCGA.26.5133.01A	55570
TCGA.02.2483.01A	55364
TCGA.16.0849.01A	55596
TCGA.14.0787.01A	55493
TCGA.32.2491.01A	55651
TCGA.06.0414.01A	55458
TCGA.02.0446.01A	55571
TCGA.12.0657.01A	55410
TCGA.76.6193.01A	55444
TCGA.06.2566.01A	55179
TCGA.08.0529.01A	55547
TCGA.06.5408.01A	55512
TCGA.14.1396.01A	55781
TCGA.06.1800.01A	55534
TCGA.12.1096.01A	55660
TCGA.19.A6J4.01A	56674
TCGA.06.0413.01A	55196
TCGA.08.0516.01A	55683
TCGA.02.0075.01A	55521
TCGA.06.0158.01A	56962
TCGA.27.1837.01A	55566
TCGA.28.1749.01A	55574
TCGA.06.0169.01A	55553
TCGA.28.1753.01A	55515
TCGA.06.0177.01A	55444
TCGA.06.1801.01A	55392
TCGA.02.0009.01A	55316
TCGA.28.5216.01A	55661
TCGA.19.2623.01A	55700
TCGA.14.0866.01B	55527
TCGA.76.4929.01A	55321
TCGA.06.0876.01A	55354
TCGA.76.6282.01A	55339
TCGA.06.2565.01A	55437
TCGA.32.2494.01A	55441
TCGA.06.0686.01A	55674
TCGA.28.5218.01A	55470
TCGA.02.0266.01A	55604
TCGA.02.0064.01A	55547
TCGA.06.5858.01A	55804
TCGA.06.2561.01A	55300
TCGA.08.0347.01A	55624
TCGA.76.4934.01A	55407
TCGA.06.6693.01A	55541
TCGA.08.0348.01A	55579
TCGA.06.0743.01A	55700
TCGA.06.6389.01A	55152
TCGA.08.0392.01A	55602
TCGA.12.0828.01A	55490
TCGA.06.0646.01A	55721
TCGA.19.2629.01A	55264
TCGA.02.0079.01A	55370
TCGA.08.0524.01A	55463
TCGA.32.5222.01A	55459
TCGA.14.1794.01A	55594
TCGA.19.5950.01A	55468
TCGA.14.0812.01B	55484
TCGA.19.0955.01A	55697
TCGA.06.5856.01A	55488
TCGA.4W.AA9R.01A	56795
TCGA.15.0742.01A	55593
TCGA.12.1091.01A	55478
TCGA.06.0179.01A	55574
TCGA.19.2625.01A	55513
TCGA.32.1973.01A	55132
TCGA.19.1390.01A	55211
TCGA.06.0166.01A	56348
TCGA.02.0052.01A	55567
TCGA.74.6578.01A	55476
TCGA.19.5951.01A	55537
TCGA.16.0848.01A	55373
TCGA.06.2569.01A	55122
TCGA.06.0410.01A	54746
TCGA.02.0271.01A	55806
TCGA.02.0326.01A	55661
TCGA.08.0518.01A	55023
TCGA.06.0644.01A	55430
TCGA.06.2567.01A	55166
TCGA.06.0188.01A	57006
TCGA.28.1757.01A	55565
TCGA.02.0317.01A	55582
TCGA.02.0034.01A	55700
TCGA.41.4097.01A	55693
TCGA.14.1037.01A	55572
TCGA.32.1970.01A	55311
TCGA.06.0201.01A	57027
TCGA.14.0871.01A	54751
TCGA.14.0740.01B	54790
TCGA.02.0258.01A	55534
TCGA.06.5415.01A	55504
TCGA.27.1834.01A	55483
TCGA.76.4931.01A	55572
TCGA.02.0069.01A	55090
TCGA.02.0290.01A	55542
TCGA.14.0865.01B	55575
TCGA.19.5956.01A	55147
TCGA.06.6388.01A	55609
TCGA.06.0237.01A	56678
TCGA.06.A5U1.01A	57103
TCGA.06.6694.01A	55485
TCGA.14.0789.01A	55587
TCGA.08.0353.01A	55622
TCGA.16.1055.01B	55760
TCGA.12.0707.01A	55412
TCGA.06.0197.01A	57221
TCGA.06.1086.01A	55144
TCGA.76.6663.01A	55529
TCGA.12.0829.01A	55541
TCGA.14.0781.01B	55590
TCGA.76.6285.01A	55778
TCGA.19.4065.01A	55334
TCGA.19.4065.02A	55210
TCGA.27.2524.01A	55475
TCGA.02.0451.01A	55368
TCGA.27.2527.01A	55527
TCGA.12.1088.01A	55486
TCGA.41.6646.01A	55548
TCGA.81.5910.01A	55581
TCGA.19.5955.01A	55561
TCGA.06.0122.01A	54884
TCGA.02.0016.01A	55519
TCGA.28.2509.01A	55524
TCGA.06.6697.01A	55437
TCGA.06.1084.01A	55450
TCGA.08.0355.01A	54979
TCGA.28.2501.01A	55448
TCGA.02.0039.01A	55701
TCGA.12.0827.01A	55246
TCGA.08.0514.01A	55566
TCGA.06.2563.01A	55160
TCGA.27.2528.01A	55380
TCGA.06.0149.01A	55625
TCGA.08.0344.01A	55653
TCGA.14.1402.01A	55282
TCGA.32.1982.01A	55439
TCGA.28.1746.01A	55532
TCGA.14.0736.01A	55463
TCGA.14.0736.02A	55496
TCGA.28.5215.01A	55709
TCGA.12.0820.01A	55602
TCGA.06.2558.01A	55583
TCGA.06.2559.01A	55495
TCGA.02.0269.01B	55351
TCGA.14.0813.01A	55532
TCGA.02.0037.01A	55440
TCGA.12.0778.01A	55067
TCGA.08.0350.01A	55673
TCGA.27.2518.01A	55470
TCGA.19.A60I.01A	57067
TCGA.06.2562.01A	55539
TCGA.76.6283.01A	55579
TCGA.14.1825.01A	55764
TCGA.06.0174.01A	56950
TCGA.12.0821.01A	55553
TCGA.19.5952.01A	55446
TCGA.08.0358.01A	55355
TCGA.06.0648.01A	55685
TCGA.27.1831.01A	55578
TCGA.12.0616.01A	55563
TCGA.12.0618.01A	55500
TCGA.12.0670.01B	55410
TCGA.06.0152.02A	55406
TCGA.06.0650.01A	55593
TCGA.16.1056.01B	55443
TCGA.32.4208.01A	55774
TCGA.76.6660.01A	55197
TCGA.32.1987.01A	55043
TCGA.02.0422.01A	55519
TCGA.14.0867.01A	55430
TCGA.06.A5U0.01A	57164
TCGA.12.0688.01A	55572
TCGA.76.6192.01A	55590
TCGA.19.1791.01A	55529
