sample	protein_num
TCGA.06.0130.01A	463
TCGA.15.1449.01A	224
TCGA.06.0189.01A	462
TCGA.06.0125.02A	217
TCGA.06.0125.01A	463
TCGA.06.2557.01A	462
TCGA.06.6700.01A	463
TCGA.26.5132.01A	462
TCGA.06.1804.01A	462
TCGA.26.6173.01A	463
TCGA.16.1460.01A	462
TCGA.26.6174.01A	463
TCGA.06.0129.01A	463
TCGA.06.6391.01A	224
TCGA.02.0116.01A	462
TCGA.19.A6J5.01A	458
TCGA.15.1447.01A	463
TCGA.19.5953.01B	223
TCGA.06.0156.01A	462
TCGA.14.1823.01A	462
TCGA.08.0351.01A	462
TCGA.OX.A56R.01A	458
TCGA.RR.A6KA.01A	458
TCGA.32.1978.01A	224
TCGA.06.0171.01A	462
TCGA.08.0352.01A	462
TCGA.08.0373.01A	224
TCGA.08.0390.01A	462
TCGA.12.5301.01A	462
TCGA.41.2573.01A	462
TCGA.06.6701.01A	463
TCGA.12.3652.01A	462
TCGA.12.1599.01A	462
TCGA.19.5954.01A	223
TCGA.19.0962.01B	462
TCGA.74.6581.01A	463
TCGA.08.0385.01A	462
TCGA.12.3653.01A	463
TCGA.12.1598.01A	223
TCGA.41.2575.01A	463
TCGA.19.1389.02A	457
TCGA.76.6657.01A	224
TCGA.06.5416.01A	462
TCGA.02.0068.01A	462
TCGA.06.6390.01A	463
TCGA.06.5411.01A	462
TCGA.06.5859.01A	463
TCGA.28.5208.01A	462
TCGA.74.6578.01A	463
TCGA.06.5418.01A	462
TCGA.27.1830.01A	462
TCGA.41.3393.01A	223
TCGA.08.0360.01A	462
TCGA.02.0069.01A	223
TCGA.27.1834.01A	462
TCGA.76.6656.01A	463
TCGA.4W.AA9S.01A	458
TCGA.32.1986.01A	223
TCGA.76.6664.01A	463
TCGA.74.6577.01A	463
TCGA.06.1087.01A	463
TCGA.06.0878.01A	462
TCGA.76.4927.01A	223
TCGA.19.1788.01A	462
TCGA.06.1806.01A	224
TCGA.19.0957.02A	217
TCGA.06.2570.01A	462
TCGA.28.1753.01A	463
TCGA.08.0355.01A	462
TCGA.76.4929.01A	224
TCGA.41.5651.01A	462
TCGA.76.6282.01A	223
TCGA.06.0876.01A	462
TCGA.28.1746.01A	462
TCGA.14.0736.02A	457
TCGA.06.0939.01A	223
TCGA.06.6693.01A	463
TCGA.27.2518.01A	223
TCGA.19.1786.01A	224
TCGA.76.4932.01A	462
TCGA.08.0347.01A	462
TCGA.19.A60I.01A	458
TCGA.06.6389.01A	463
TCGA.08.0392.01A	462
TCGA.02.0003.01A	462
TCGA.76.4928.01B	224
TCGA.06.2562.01A	224
TCGA.76.6283.01A	463
TCGA.32.4210.01A	462
TCGA.12.3646.01A	462
TCGA.08.0389.01A	462
TCGA.06.0238.01A	463
TCGA.08.0358.01A	462
TCGA.19.5950.01A	463
TCGA.19.5952.01A	463
TCGA.28.1750.01A	462
TCGA.08.0356.01A	462
TCGA.06.0879.01A	463
TCGA.06.0126.01A	463
TCGA.19.2619.01A	463
TCGA.19.5947.01A	462
TCGA.08.0375.01A	224
TCGA.12.0691.01A	462
TCGA.06.0154.01A	462
TCGA.06.0210.02A	457
TCGA.32.1991.01A	462
TCGA.06.0171.02A	217
TCGA.15.1446.01A	462
TCGA.08.0349.01A	462
TCGA.RR.A6KB.01A	458
TCGA.28.1747.01C	224
TCGA.06.0221.02A	217
TCGA.06.A7TL.01A	458
TCGA.76.6660.01A	463
TCGA.27.1836.01A	462
TCGA.RR.A6KC.01A	458
TCGA.32.4211.01A	223
TCGA.02.2485.01A	462
TCGA.06.0650.01A	462
TCGA.06.2567.01A	462
TCGA.19.1390.01A	223
TCGA.28.1757.01A	224
TCGA.32.1987.01A	462
TCGA.26.A7UX.01B	458
TCGA.06.0644.01A	223
TCGA.41.4097.01A	462
TCGA.76.6192.01A	224
TCGA.06.5417.01A	223
TCGA.19.5958.01A	223
TCGA.06.A5U1.01A	458
TCGA.06.A6S0.01A	458
TCGA.06.2564.01A	462
TCGA.76.6662.01A	463
TCGA.06.5413.01A	224
TCGA.76.6663.01A	463
TCGA.06.6699.01A	463
TCGA.76.6285.01A	463
