sample	snv
TCGA-02-0003-01A	47
TCGA-02-0033-01A	35
TCGA-02-0047-01A	67
TCGA-02-0055-01A	55
TCGA-02-2466-01A	91
TCGA-02-2470-01A	146
TCGA-02-2483-01A	50
TCGA-02-2485-01A	127
TCGA-02-2486-01A	139
TCGA-06-0119-01A	70
TCGA-06-0122-01A	87
TCGA-06-0124-01A	65
TCGA-06-0125-01A	66
TCGA-06-0125-02A	89
TCGA-06-0126-01A	58
TCGA-06-0128-01A	57
TCGA-06-0129-01A	42
TCGA-06-0130-01A	28
TCGA-06-0132-01A	24
TCGA-06-0137-01A	80
TCGA-06-0139-01A	3
TCGA-06-0140-01A	40
TCGA-06-0141-01A	15
TCGA-06-0145-01A	203
TCGA-06-0151-01A	18
TCGA-06-0152-01A	125
TCGA-06-0152-02A	66
TCGA-06-0154-01A	57
TCGA-06-0155-01B	73
TCGA-06-0157-01A	55
TCGA-06-0158-01A	55
TCGA-06-0165-01A	1
TCGA-06-0166-01A	43
TCGA-06-0167-01A	1
TCGA-06-0168-01A	45
TCGA-06-0169-01A	52
TCGA-06-0171-01A	51
TCGA-06-0171-02A	36
TCGA-06-0173-01A	79
TCGA-06-0174-01A	71
TCGA-06-0178-01A	1
TCGA-06-0184-01A	58
TCGA-06-0185-01A	78
TCGA-06-0187-01A	43
TCGA-06-0188-01A	77
TCGA-06-0189-01A	16
TCGA-06-0190-01A	59
TCGA-06-0190-02A	105
TCGA-06-0192-01B	72
TCGA-06-0195-01B	72
TCGA-06-0209-01A	77
TCGA-06-0210-01B	61
TCGA-06-0210-02A	68
TCGA-06-0211-01B	64
TCGA-06-0211-02A	54
TCGA-06-0213-01A	65
TCGA-06-0214-01A	70
TCGA-06-0216-01B	65
TCGA-06-0219-01A	41
TCGA-06-0221-01A	31
TCGA-06-0221-02A	54
TCGA-06-0237-01A	41
TCGA-06-0238-01A	43
TCGA-06-0240-01A	1
TCGA-06-0241-01A	62
TCGA-06-0644-01A	61
TCGA-06-0645-01A	57
TCGA-06-0646-01A	35
TCGA-06-0648-01A	121
TCGA-06-0649-01B	195
TCGA-06-0650-01A	38
TCGA-06-0686-01A	153
TCGA-06-0743-01A	98
TCGA-06-0744-01A	164
TCGA-06-0745-01A	127
TCGA-06-0747-01A	153
TCGA-06-0749-01A	141
TCGA-06-0750-01A	43
TCGA-06-0875-01A	153
TCGA-06-0876-01A	158
TCGA-06-0877-01A	186
TCGA-06-0878-01A	114
TCGA-06-0879-01A	142
TCGA-06-0881-01A	135
TCGA-06-0882-01A	107
TCGA-06-0939-01A	70
TCGA-06-1084-01A	85
TCGA-06-1087-01A	64
TCGA-06-1800-01A	70
