sample	probe
TCGA.DU.A5TT.01A	17242
TCGA.EZ.7264.01A	17294
TCGA.E1.A7YN.01A	17295
TCGA.DU.6403.01A	17290
TCGA.TM.A84S.01A	17255
TCGA.DU.A5TR.01A	17301
TCGA.DU.7011.01A	17293
TCGA.HT.A74L.01A	17234
TCGA.HT.7478.01A	17286
TCGA.HT.7857.01A	17294
TCGA.TQ.A7RS.01A	17207
TCGA.HT.7472.01A	17297
TCGA.P5.A730.01A	17274
TCGA.E1.5303.01A	17302
TCGA.VM.A8C9.01A	17288
TCGA.DU.8167.01A	17296
TCGA.DU.7008.01A	17293
TCGA.HW.8322.01A	17296
TCGA.CS.4944.01A	17293
TCGA.FG.7638.01B	17287
TCGA.TQ.A7RG.01A	17189
TCGA.TM.A84M.01A	17287
TCGA.DB.A64S.01A	17296
TCGA.S9.A6U5.01A	17256
TCGA.VW.A8FI.01A	17257
TCGA.HT.7471.01A	17296
TCGA.HT.7482.01A	17299
TCGA.HT.7695.01A	17294
TCGA.HT.7610.01A	17295
TCGA.QH.A65R.01A	17268
TCGA.HT.7476.01A	17294
TCGA.VM.A8CH.01A	17262
TCGA.HW.7495.01A	17296
TCGA.DU.6399.01A	17280
TCGA.VV.A86M.01A	17293
TCGA.TM.A7CA.01A	17230
TCGA.HW.7486.01A	17294
TCGA.P5.A72U.01A	17200
TCGA.HT.8011.01A	17277
TCGA.HT.7854.01A	17295
TCGA.QH.A870.01A	17290
TCGA.HT.7687.01A	17304
TCGA.S9.A6TS.01A	17168
TCGA.E1.A7YV.01A	17271
TCGA.P5.A5EX.01A	17232
TCGA.RY.A843.01A	17292
TCGA.HT.7873.01B	17286
TCGA.FG.A60L.01A	17259
TCGA.DB.A75K.01A	17236
TCGA.DU.6395.01A	17298
TCGA.TQ.A7RR.01A	17299
TCGA.FG.5964.01A	17291
TCGA.HT.7691.01A	17299
TCGA.DU.6407.02A	17272
TCGA.F6.A8O3.01A	17285
TCGA.DB.A4XG.01A	17294
TCGA.HT.A5RA.01A	17279
TCGA.DB.A4X9.01A	17298
TCGA.QH.A6CS.01A	17269
TCGA.E1.A7YW.01A	17298
TCGA.FG.6692.01A	17273
TCGA.TQ.A7RV.02A	17229
TCGA.RY.A83X.01A	17295
